Job Id,Job Role,Industry,Company Name,Location,Salary (INR),Experience Required (years),Qualification,Employment Type,Skills,Posted Date,Source,Work Mode,Job Rating,Total Job Openings,Applications Received,Candidates Hired,Male Candidates,Female Candidates,Other Gender Candidates,Skill Demand Score,Skill Supply Score,Skill Gap,In-demand Skills,Gender Pay Gap (%),Employee Satisfaction Score (%),Reasons for Job Switch,Average Employee Retention (Years),Turnover Rate (%),Employee Benefits,Bonuses & Benefits Included?,Employment Rate (%),Unemployment Rate (%),Total Employees in Company,Mandatory Hours per Week,Burnout Risk,Number of Certifications,Years in Industry
NIK-GRA-8630,Graphic Designer,Biotechnology,Nike,"Mumbai, India",1682887,12,B.Com,Part-time,"SEO, Python",07-01-2023,LinkedIn,Hybrid,4.1,4,209,4,1,3,0,60,82,-22,"Python, Power BI",9,86,Salary,4.6,16,"Bonuses, Perks",No,80,20,213930,39,High,1,14
TES-SOF-2678,Software Engineer,Healthcare,Tesla,"London, UK",783520,5,MBA,Internship,"HR Policies, AWS",22-12-2021,Naukri,Remote,4,2,354,2,2,0,0,63,81,-18,"Java, SQL",8,89,Job Security,4.5,17,"Bonuses, Perks",Yes,83,17,101113,38,Low,2,7
PFI-GRA-2123,Graphic Designer,Finance,Pfizer,"Paris, France",1962380,0,M.Tech,Full-Time,"SEO, Photoshop",10-07-2015,Naukri,Hybrid,4.7,2,144,2,1,1,0,76,71,5,"AWS, HR Policies",7,76,Growth,4,17,"Bonuses, Perks",No,80,20,249764,41,High,3,1
DEL-BIO-6224,Biotech Researcher,Education,Deloitte,"London, UK",1762736,12,BBA,Part-time,"Java, SEO",14-06-2018,LinkedIn,Onsite,3.5,5,445,3,1,2,0,71,87,-16,"SEO, React",10,72,Culture,2.2,15,"Bonuses, Perks",No,89,11,95340,36,High,4,11
DEL-DAT-3134,Data Scientist,Design,Deloitte,"London, UK",629900,11,M.Com,Full-Time,"Python, AWS",07-12-2015,Shine,Onsite,4.4,6,403,5,0,5,0,69,83,-14,"Photoshop, SQL",13,89,Job Security,5.7,13,"WFH, Insurance",Yes,88,12,126702,42,Medium,1,13
GOO-DAT-8326,Data Scientist,Design,Google,"Sydney, Australia",2224637,10,B.Sc,Contract,"Machine Learning, SEO",23-11-2024,Upwork,Onsite,4,6,75,1,0,1,0,64,66,-2,"Photoshop, AWS",15,83,Culture,4.6,19,"WFH, Insurance",Yes,84,16,101848,38,Low,4,12
TCS-HR -9984,HR Manager,Education,TCS,"Mumbai, India",2321667,14,B.Com,Part-time,"Photoshop, React",18-07-2019,Glassdoor,Remote,3,6,406,2,2,0,0,71,90,-19,"Power BI, HR Policies",5,84,Salary,2.2,19,"WFH, Insurance",No,77,23,88449,42,Medium,2,7
AMA-MEC-8260,Mechanical Engineer,Retail,Amazon,"London, UK",2414014,9,MBA,Part-time,"Power BI, SEO",23-05-2014,Glassdoor,Onsite,3.3,9,404,9,2,7,0,95,77,18,"SQL, HR Policies",8,74,Work-life balance,3.4,10,"WFH, Insurance",Yes,83,17,206951,42,Low,5,11
SAM-MAR-8114,Marketing Manager,Finance,Samsung,"Sydney, Australia",1016039,1,BBA,Contract,"AWS, Java",24-01-2021,Naukri,Hybrid,3.2,7,245,3,1,2,0,90,80,10,"SQL, Power BI",15,72,Job Security,4.5,16,"WFH, Insurance",No,88,12,101854,35,Medium,3,3
GOO-DAT-7772,Data Analyst,Design,Google,"London, UK",2485517,4,Diploma,Full-Time,"Python, Java",27-02-2020,Naukri,Hybrid,3.9,5,320,3,1,2,0,88,66,22,"Machine Learning, SEO",15,87,Growth,5.6,11,"WFH, Insurance",No,90,10,188282,37,High,5,5
SAM-MAR-2956,Marketing Manager,HR,Samsung,"New York, USA",1424089,6,MBA,Internship,"AWS, React",28-09-2017,Indeed,Hybrid,4.2,1,267,1,1,0,0,69,75,-6,"Python, HR Policies",6,76,Culture,3.3,13,"Bonuses, Perks",No,90,10,189873,37,Low,2,6
PFI-SOF-8952,Software Engineer,Marketing,Pfizer,"London, UK",815883,0,PhD,Full-Time,"Photoshop, React",28-04-2022,Glassdoor,Remote,4.5,9,442,4,4,0,0,74,73,1,"SQL, Python",5,86,Work-life balance,3.8,19,"Bonuses, Perks",Yes,76,24,119501,41,Medium,4,2
ADO-HR -9040,HR Manager,Manufacturing,Adobe,"Bangalore, India",1751267,11,B.Tech,Internship,"Python, Java",04-02-2016,LinkedIn,Hybrid,4.8,1,93,1,0,1,0,86,68,18,"HR Policies, Photoshop",11,89,Job Security,4.7,10,"WFH, Insurance",Yes,75,25,194240,37,High,2,3
MIC-DAT-4144,Data Scientist,Design,Microsoft,"Bangalore, India",2642630,13,B.Com,Full-Time,"Java, AWS",23-07-2017,Shine,Hybrid,4.3,7,89,3,3,0,0,67,76,-9,"SEO, HR Policies",5,95,Work-life balance,4.8,20,"Bonuses, Perks",No,80,20,134718,35,Low,3,3
NIK-MEC-4620,Mechanical Engineer,Design,Nike,"Mumbai, India",1873666,0,M.Tech,Full-Time,"AWS, React",01-02-2022,Shine,Hybrid,4.1,2,307,1,1,0,0,93,88,5,"SQL, Power BI",5,85,Salary,2.6,18,"Bonuses, Perks",Yes,84,16,188644,37,High,2,2
NIK-MAR-5316,Marketing Manager,HR,Nike,"Mumbai, India",1725379,11,B.Com,Internship,"Power BI, HR Policies",20-02-2021,Shine,Hybrid,3.1,5,69,5,5,0,0,69,83,-14,"React, Photoshop",13,82,Work-life balance,5.5,17,"WFH, Insurance",Yes,77,23,126162,44,Medium,3,13
AMA-MAR-5575,Marketing Manager,Marketing,Amazon,"Sydney, Australia",1130577,12,B.Sc,Internship,"Java, Photoshop",17-10-2022,Glassdoor,Hybrid,4.1,7,334,4,2,2,0,84,69,15,"Python, Java",11,72,Culture,4.7,16,"Bonuses, Perks",Yes,84,16,248324,35,Medium,4,3
NIK-BIO-3906,Biotech Researcher,Design,Nike,"Dubai, UAE",908752,4,BBA,Part-time,"Java, Power BI",03-05-2014,LinkedIn,Onsite,3.8,5,388,4,2,2,0,83,56,27,"Machine Learning, Python",14,88,Job Security,5.6,11,"Bonuses, Perks",Yes,78,22,207518,42,High,4,2
NIK-CYB-9964,Cybersecurity Analyst,Education,Nike,"Berlin, Germany",1893092,1,Diploma,Part-time,"HR Policies, Power BI",25-08-2022,Glassdoor,Remote,4.1,6,391,4,2,2,0,87,60,27,"AWS, Machine Learning",9,92,Culture,2.8,13,"WFH, Insurance",Yes,87,13,51824,36,Medium,1,3
MIC-SOF-5780,Software Engineer,Marketing,Microsoft,"Bangalore, India",1015789,0,M.Sc,Full-Time,"Photoshop, HR Policies",14-11-2018,LinkedIn,Hybrid,5,6,119,3,3,0,0,85,60,25,"Machine Learning, Python",8,88,Salary,2.4,11,"WFH, Insurance",Yes,80,20,169284,44,Low,5,2
NIK-CYB-3116,Cybersecurity Analyst,Finance,Nike,"Mumbai, India",1671643,11,BBA,Part-time,"AWS, SQL",09-01-2015,Indeed,Hybrid,4.2,9,339,8,,2,0,75,64,11,"Photoshop, Machine Learning",12,90,Culture,2.9,16,"Bonuses, Perks",Yes,83,17,93981,41,High,1,13
PFI-DAT-7364,Data Analyst,Healthcare,Pfizer,"New York, USA",1423986,15,M.Com,Full-Time,"Power BI, Python",27-02-2016,Shine,Remote,4.6,8,340,5,4,1,0,81,87,-6,"HR Policies, SQL",14,83,Salary,2.1,10,"Bonuses, Perks",No,89,11,99617,43,Medium,5,17
ADO-MEC-2078,Mechanical Engineer,HR,Adobe,"New York, USA",2013793,5,MBA,Contract,"Python, HR Policies",18-12-2015,Indeed,Remote,3.2,1,366,1,1,0,0,61,83,-22,"React, AWS",11,94,Growth,4.6,20,"WFH, Insurance",No,85,15,136328,38,High,5,7
AMA-DAT-2054,Data Analyst,IT,Amazon,"New York, USA",2503602,8,BBA,Internship,"Power BI, SEO",28-10-2018,Upwork,Hybrid,3.3,10,128,5,1,4,0,81,81,0,"React, SEO",6,74,Salary,4,11,"Bonuses, Perks",No,82,18,173173,45,High,4,10
GOO-MEC-1495,Mechanical Engineer,Healthcare,Google,"Mumbai, India",862037,9,PhD,Contract,"React, AWS",15-12-2021,Naukri,Remote,4.7,4,309,1,0,1,0,67,80,-13,"HR Policies, Photoshop",7,76,Growth,2.1,18,"Bonuses, Perks",Yes,75,25,116929,44,High,4,9
NIK-BIO-4518,Biotech Researcher,Finance,Nike,"Toronto, Canada",2146743,15,M.Sc,Full-Time,"Photoshop, AWS",24-01-2021,Naukri,Remote,3.2,8,279,5,2,3,0,72,74,-2,"React, Photoshop",6,75,Culture,2.9,18,"Bonuses, Perks",No,85,15,158462,35,Low,1,17
DEL-CYB-6166,Cybersecurity Analyst,Retail,Deloitte,"New York, USA",2126374,2,BBA,Internship,"HR Policies, Python",21-06-2021,Glassdoor,Remote,4.4,9,128,1,1,0,0,73,64,9,"AWS, SQL",9,82,Work-life balance,3,19,"WFH, Insurance",Yes,87,13,147382,37,Medium,2,4
MIC-BIO-1213,Biotech Researcher,Design,Microsoft,"Bangalore, India",839381,4,B.Tech,Full-Time,"AWS, SQL",27-10-2024,Indeed,Hybrid,4.3,8,312,8,5,3,0,72,71,1,"Java, HR Policies",9,78,Work-life balance,5.8,17,"WFH, Insurance",No,88,12,75122,37,Medium,2,6
AMA-GRA-8003,Graphic Designer,Healthcare,Amazon,"Mumbai, India",1656279,14,B.Tech,Full-Time,"HR Policies, SQL",14-01-2020,Upwork,Remote,4.6,6,449,6,4,2,0,93,80,13,"Power BI, HR Policies",5,95,Salary,5.8,13,"WFH, Insurance",Yes,86,14,164696,44,High,3,13
TCS-DAT-2871,Data Scientist,HR,TCS,"New York, USA",854695,15,PhD,Contract,"Python, SEO",07-08-2015,Shine,Remote,4.2,6,276,2,0,2,0,68,75,-7,"AWS, Power BI",15,80,Work-life balance,4.6,10,"WFH, Insurance",No,85,15,155565,37,Medium,5,13
MIC-MEC-5308,Mechanical Engineer,Retail,Microsoft,"New York, USA",1028493,10,M.Com,Part-time,"Power BI, AWS",18-11-2015,Naukri,Remote,3.7,7,403,6,1,5,0,74,86,-12,"HR Policies, Machine Learning",15,76,Job Security,2,13,"WFH, Insurance",No,79,21,195616,42,Low,2,12
PFI-FIN-7161,Finance Consultant,Education,Pfizer,"Mumbai, India",1380943,6,Diploma,Part-time,"Python, Java",27-10-2020,Shine,Remote,4.9,1,285,1,0,1,0,95,56,39,"React, Machine Learning",9,86,Job Security,2.2,19,"WFH, Insurance",No,87,13,245421,38,Low,2,6
TCS-DAT-9163,Data Scientist,Biotechnology,TCS,"Bangalore, India",2484634,6,M.Tech,Full-Time,"Python, Power BI",06-10-2023,Shine,Remote,3.8,9,279,9,6,3,0,70,59,11,"React, SEO",9,71,Salary,3.4,20,"WFH, Insurance",Yes,80,20,165378,45,Low,1,8
TCS-BIO-2837,Biotech Researcher,Biotechnology,TCS,"Bangalore, India",1181334,12,MBA,Internship,"HR Policies, AWS",11-11-2024,Naukri,Onsite,3.3,8,406,8,7,1,0,87,71,16,"SQL, SEO",14,77,Work-life balance,5.2,17,"Bonuses, Perks",Yes,76,24,53822,43,Medium,2,6
MIC-MEC-3306,Mechanical Engineer,Marketing,Microsoft,"Dubai, UAE",2361968,1,M.Sc,Internship,"Power BI, React",22-02-2023,LinkedIn,Onsite,5,8,442,5,4,1,0,91,69,22,"Machine Learning, Photoshop",9,93,Culture,4.4,11,"WFH, Insurance",Yes,77,23,223535,36,Medium,3,3
MIC-MEC-7752,Mechanical Engineer,Marketing,Microsoft,"Berlin, Germany",2228814,2,Diploma,Part-time,"Java, AWS",18-10-2023,Shine,Hybrid,3.5,2,478,1,1,0,0,91,68,23,"HR Policies, SEO",13,71,Work-life balance,3.5,13,"Bonuses, Perks",Yes,87,13,109713,39,Low,2,3
PFI-SOF-2088,Software Engineer,Healthcare,Pfizer,"Paris, France",1997141,7,Diploma,Part-time,"React, SQL",27-01-2020,Naukri,Hybrid,3.6,3,271,3,1,2,0,89,69,20,"Power BI, Photoshop",14,77,Job Security,3.2,14,"WFH, Insurance",No,79,21,247553,40,Medium,2,3
TES-MEC-8641,Mechanical Engineer,Finance,Tesla,"Mumbai, India",2984657,4,B.Com,Contract,"HR Policies, React",26-11-2024,Upwork,Onsite,4.7,9,160,9,2,7,0,82,84,-2,"Photoshop, SQL",5,71,Growth,5.8,10,"Bonuses, Perks",No,89,11,69409,35,High,2,6
MIC-DAT-6395,Data Scientist,HR,Microsoft,"Paris, France",2297680,0,BBA,Part-time,"HR Policies, SQL",20-03-2015,Glassdoor,Onsite,4.8,6,157,3,1,2,0,61,71,-10,"SEO, Python",12,87,Culture,2.2,13,"WFH, Insurance",Yes,89,11,244917,41,Medium,4,2
SAM-FIN-8226,Finance Consultant,IT,Samsung,"Dubai, UAE",886763,4,M.Sc,Full-Time,"React, SQL",16-07-2016,LinkedIn,Onsite,4.9,5,400,1,0,1,0,61,59,2,"Python, React",15,82,Salary,2,15,"Bonuses, Perks",No,89,11,148282,36,High,4,6
NIK-CYB-8297,Cybersecurity Analyst,Finance,Nike,"Bangalore, India",1520688,13,B.Tech,Internship,"SEO, AWS",05-10-2016,Naukri,Onsite,4,5,66,5,2,3,0,73,64,9,"Python, Java",13,73,Job Security,4,14,"WFH, Insurance",Yes,88,12,90754,38,High,1,15
ADO-CYB-4599,Cybersecurity Analyst,Design,Adobe,"London, UK",2081103,0,MBA,Part-time,"AWS, SQL",22-01-2024,Shine,Hybrid,4,8,480,4,3,1,0,65,55,10,"Power BI, Python",6,72,Salary,5.9,16,"WFH, Insurance",No,77,23,78131,44,Medium,1,2
TCS-BIO-1327,Biotech Researcher,HR,TCS,"Berlin, Germany",2592686,13,MBA,Part-time,"Java, Python",09-01-2021,Shine,Remote,3.8,1,271,1,0,1,0,64,75,-11,"Python, React",9,92,Culture,2.5,10,"Bonuses, Perks",No,87,13,105824,41,Medium,4,15
SAM-DAT-9250,Data Scientist,Retail,Samsung,"Bangalore, India",1666205,2,B.Com,Part-time,"Java, Machine Learning",25-06-2023,Naukri,Remote,3.2,9,96,3,2,1,0,70,90,-20,"Power BI, HR Policies",12,88,Work-life balance,4.1,18,"WFH, Insurance",No,83,17,205016,40,Medium,1,4
NIK-DAT-3890,Data Analyst,Finance,Nike,"Sydney, Australia",643325,6,M.Tech,Full-Time,"SEO, React",08-08-2021,Glassdoor,Onsite,3.3,10,375,7,4,3,0,63,78,-15,"Python, Machine Learning",13,80,Work-life balance,3.6,10,"WFH, Insurance",Yes,76,24,204136,45,High,3,3
AMA-DAT-7579,Data Scientist,HR,Amazon,"Berlin, Germany",2930178,3,M.Com,Internship,"AWS, SQL",20-02-2015,Shine,Hybrid,4.4,5,82,3,0,3,0,60,56,4,"HR Policies, Python",11,74,Salary,2.1,16,"Bonuses, Perks",No,77,23,238117,42,Medium,4,5
MIC-SOF-5803,Software Engineer,Healthcare,Microsoft,"Paris, France",1055627,11,MBA,Part-time,"Photoshop, SQL",08-10-2021,Shine,Remote,3.5,2,281,2,1,1,0,68,80,-12,"Machine Learning, SQL",5,91,Culture,2.5,15,"Bonuses, Perks",Yes,81,19,247786,40,Medium,2,11
PFI-MEC-5147,Mechanical Engineer,IT,Pfizer,"New York, USA",2150134,10,PhD,Full-Time,"Java, Machine Learning",05-03-2019,LinkedIn,Hybrid,4.5,3,426,3,2,1,0,66,83,-17,"Power BI, Machine Learning",12,73,Growth,4.6,10,"WFH, Insurance",No,82,18,68332,37,Medium,2,3
MIC-HR -6616,HR Manager,Manufacturing,Microsoft,"Dubai, UAE",1587969,6,BBA,Contract,"AWS, React",28-05-2015,Glassdoor,Remote,3.5,10,218,8,4,4,0,87,83,4,"Machine Learning, Photoshop",10,92,Salary,6,13,"WFH, Insurance",No,84,16,221896,40,Low,3,8
AMA-BIO-3920,Biotech Researcher,HR,Amazon,"Singapore, Singapore",2771439,8,B.Tech,Full-Time,"Photoshop, SEO",19-12-2020,Shine,Onsite,3.2,9,287,2,2,0,0,85,87,-2,"Python, HR Policies",10,79,Work-life balance,2.4,13,"Bonuses, Perks",Yes,77,23,203579,44,Medium,4,6
DEL-BIO-5654,Biotech Researcher,Healthcare,Deloitte,"Dubai, UAE",1188709,10,BBA,Part-time,"Photoshop, Python",24-08-2018,Naukri,Remote,3.5,2,339,1,0,1,0,93,82,11,"React, Python",11,92,Work-life balance,3.7,14,"WFH, Insurance",No,76,24,101585,35,Low,3,9
ADO-BIO-7287,Biotech Researcher,Finance,Adobe,"Sydney, Australia",2350263,9,M.Tech,Full-Time,"React, Power BI",04-10-2015,Upwork,Remote,3.1,4,405,4,4,0,0,69,78,-9,"React, Java",12,83,Growth,2.2,15,"WFH, Insurance",No,88,12,219070,36,High,1,11
SAM-DAT-7536,Data Analyst,Retail,Samsung,"Berlin, Germany",1178164,1,Diploma,Part-time,"SQL, Photoshop",07-09-2018,Indeed,Onsite,4.6,7,402,6,1,5,0,95,71,24,"SQL, Machine Learning",8,83,Salary,3.9,19,"WFH, Insurance",No,77,23,176550,45,High,4,3
TCS-BIO-6893,Biotech Researcher,HR,TCS,"Bangalore, India",1458587,10,BBA,Part-time,"Machine Learning, Java",07-08-2022,Indeed,Hybrid,3.4,4,339,2,0,2,0,74,62,12,"Photoshop, AWS",14,90,Job Security,4.5,11,"WFH, Insurance",No,83,17,105046,40,Low,4,12
TES-GRA-1621,Graphic Designer,Design,Tesla,"Dubai, UAE",897398,12,B.Sc,Full-Time,"Machine Learning, Java",25-01-2020,Upwork,Onsite,4.5,1,419,1,1,0,0,92,75,17,"Power BI, HR Policies",9,91,Work-life balance,4.1,10,"Bonuses, Perks",Yes,75,25,207673,38,Low,4,14
ADO-CYB-2183,Cybersecurity Analyst,Finance,Adobe,"London, UK",2709462,6,M.Sc,Full-Time,"Python, AWS",12-02-2024,Naukri,Remote,4.5,9,257,7,2,5,0,72,65,7,"HR Policies, SQL",5,88,Salary,5.7,10,"Bonuses, Perks",Yes,82,18,205118,37,Medium,1,8
TES-MEC-4198,Mechanical Engineer,IT,Tesla,"Toronto, Canada",1368122,5,M.Sc,Internship,"AWS, Photoshop",24-06-2017,Indeed,Remote,4.1,7,107,1,1,0,0,88,80,8,"Java, HR Policies",10,85,Growth,3.6,19,"WFH, Insurance",No,81,19,81755,42,Low,1,1
AMA-BIO-4293,Biotech Researcher,Biotechnology,Amazon,"Toronto, Canada",1207256,3,Diploma,Full-Time,"Java, Python",27-08-2022,LinkedIn,Hybrid,3.2,7,197,4,0,4,0,62,75,-13,"Power BI, Photoshop",5,75,Work-life balance,5.4,11,"WFH, Insurance",No,87,13,165221,42,Medium,4,5
PFI-FIN-7213,Finance Consultant,Marketing,Pfizer,"Mumbai, India",1714233,11,B.Com,Part-time,"SEO, Java",18-05-2021,Shine,Onsite,3.4,1,242,1,1,0,0,92,71,21,"React, Java",7,71,Salary,4.3,17,"WFH, Insurance",No,82,18,210760,42,High,4,8
ADO-MEC-2866,Mechanical Engineer,IT,Adobe,"Sydney, Australia",1480851,4,M.Com,Full-Time,"React, SQL",07-11-2019,Naukri,Hybrid,3.6,2,175,2,2,0,0,62,89,-27,"Machine Learning, SQL",10,75,Work-life balance,5.1,13,"Bonuses, Perks",No,76,24,182833,44,Low,3,3
AMA-DAT-3241,Data Analyst,Healthcare,Amazon,"Dubai, UAE",2414603,5,BBA,Full-Time,"React, Python",24-04-2024,Indeed,Onsite,3.9,5,335,4,3,1,0,87,80,7,"React, Machine Learning",7,79,Salary,5.9,10,"WFH, Insurance",No,90,10,91417,45,Medium,4,2
ADO-DAT-8897,Data Scientist,Retail,Adobe,"Mumbai, India",1067102,8,Diploma,Part-time,"Java, Machine Learning",07-01-2023,Indeed,Remote,4.8,8,62,4,2,2,0,89,79,10,"SEO, SQL",13,80,Job Security,5.1,13,"WFH, Insurance",Yes,79,21,110481,43,High,3,10
NIK-MAR-8845,Marketing Manager,Marketing,Nike,"London, UK",2794609,0,M.Tech,Full-Time,"Python, React",18-02-2014,Shine,Hybrid,3.1,10,448,6,5,1,0,74,58,16,"HR Policies, AWS",14,74,Salary,4.2,11,"WFH, Insurance",Yes,75,25,105327,45,High,3,2
GOO-GRA-8693,Graphic Designer,Finance,Google,"Berlin, Germany",1558966,12,M.Tech,Full-Time,"Python, Power BI",13-09-2019,Glassdoor,Onsite,3.9,9,243,9,2,7,0,88,77,11,"AWS, SEO",7,91,Job Security,6,17,"Bonuses, Perks",Yes,77,23,110938,39,High,1,1
AMA-MEC-7804,Mechanical Engineer,IT,Amazon,"Bangalore, India",2175936,5,Diploma,Part-time,"Python, Power BI",07-07-2016,Indeed,Remote,3.7,1,351,1,0,1,0,93,79,14,"Photoshop, HR Policies",8,77,Work-life balance,5.9,10,"WFH, Insurance",No,88,12,228594,39,Low,5,7
DEL-SOF-8245,Software Engineer,Retail,Deloitte,"Dubai, UAE",2585727,10,M.Tech,Contract,"SQL, Power BI",21-07-2021,Naukri,Hybrid,4.8,4,312,2,1,1,0,65,76,-11,"SQL, AWS",9,75,Culture,5,15,"WFH, Insurance",No,75,25,93860,42,Medium,3,12
MIC-SOF-1587,Software Engineer,Education,Microsoft,"Singapore, Singapore",936275,5,M.Com,Internship,"Photoshop, Machine Learning",17-03-2017,Naukri,Onsite,4.7,3,412,3,3,0,0,86,77,9,"HR Policies, Photoshop",8,86,Job Security,5.5,16,"Bonuses, Perks",Yes,85,15,139696,44,High,3,7
MIC-DAT-9850,Data Scientist,Manufacturing,Microsoft,"Bangalore, India",2596426,7,PhD,Contract,"React, HR Policies",21-04-2020,Glassdoor,Hybrid,4.3,8,86,2,0,2,0,65,69,-4,"React, SEO",7,72,Salary,3.3,17,"WFH, Insurance",No,86,14,99502,41,High,1,7
DEL-FIN-7589,Finance Consultant,IT,Deloitte,"Mumbai, India",2395825,0,M.Tech,Full-Time,"SEO, AWS",13-07-2018,Upwork,Onsite,3.2,2,373,1,0,1,0,81,74,7,"Python, SQL",5,90,Growth,2.1,16,"WFH, Insurance",No,83,17,202822,36,Medium,2,2
NIK-SOF-3271,Software Engineer,Design,Nike,"Singapore, Singapore",1997049,8,M.Sc,Full-Time,"Python, HR Policies",08-06-2021,Indeed,Hybrid,4.3,7,475,7,7,0,0,89,74,15,"AWS, React",11,71,Job Security,4.3,10,"Bonuses, Perks",No,84,16,159683,42,Medium,1,2
SAM-GRA-3141,Graphic Designer,Biotechnology,Samsung,"Sydney, Australia",1270398,7,B.Sc,Part-time,"Machine Learning, HR Policies",23-12-2024,LinkedIn,Onsite,3.8,3,131,3,3,0,0,77,84,-7,"SEO, Machine Learning",8,93,Job Security,4.3,12,"WFH, Insurance",No,78,22,97191,39,High,2,6
NIK-DAT-8932,Data Analyst,Biotechnology,Nike,"Toronto, Canada",864849,15,B.Sc,Internship,"Python, Java",15-01-2021,Indeed,Onsite,4.1,2,135,1,1,0,0,94,78,16,"Machine Learning, Python",14,91,Culture,2.8,20,"Bonuses, Perks",Yes,77,23,234949,45,Low,1,4
SAM-GRA-1661,Graphic Designer,HR,Samsung,"Paris, France",2581094,14,M.Sc,Contract,"Java, Machine Learning",09-02-2019,Glassdoor,Hybrid,4.2,10,437,7,1,6,0,87,58,29,"SEO, Machine Learning",12,70,Culture,5.6,14,"Bonuses, Perks",Yes,78,22,199271,43,Medium,3,16
PFI-FIN-5266,Finance Consultant,Manufacturing,Pfizer,"Mumbai, India",1009045,7,B.Sc,Internship,"Power BI, AWS",14-08-2019,Upwork,Onsite,3.5,7,459,4,2,2,0,93,59,34,"SEO, AWS",6,75,Job Security,2.3,15,"Bonuses, Perks",No,82,18,51257,37,Low,1,1
DEL-MEC-9961,Mechanical Engineer,Design,Deloitte,"Berlin, Germany",655664,8,M.Sc,Internship,"Java, Photoshop",12-05-2023,LinkedIn,Remote,4.7,2,123,2,1,1,0,91,79,12,"Java, AWS",9,79,Job Security,3.1,19,"WFH, Insurance",No,77,23,138837,37,Medium,5,6
NIK-MAR-5364,Marketing Manager,Manufacturing,Nike,"Singapore, Singapore",2202361,6,Diploma,Part-time,"HR Policies, React",25-11-2019,Naukri,Remote,3.9,6,108,3,2,1,0,71,60,11,"SQL, SEO",9,83,Growth,3.8,17,"Bonuses, Perks",No,87,13,233390,42,Medium,5,3
ADO-MEC-4814,Mechanical Engineer,Marketing,Adobe,"Singapore, Singapore",700362,5,M.Sc,Internship,"HR Policies, Java",02-01-2018,LinkedIn,Remote,3.9,9,348,1,1,0,0,77,67,10,"SQL, SEO",5,91,Culture,5,11,,Yes,85,15,144075,42,Low,3,5
PFI-GRA-8701,Graphic Designer,Retail,Pfizer,"Dubai, UAE",1653599,1,Diploma,Contract,"AWS, SEO",17-08-2014,Indeed,Remote,4.5,5,120,3,3,0,0,65,73,-8,"SQL, HR Policies",14,70,Growth,3.8,16,"Bonuses, Perks",No,82,18,141578,38,Low,1,3
DEL-SOF-9272,Software Engineer,Healthcare,Deloitte,"Dubai, UAE",2377785,8,M.Tech,Contract,"Java, Python",17-02-2021,LinkedIn,Hybrid,4.8,5,329,5,5,0,0,77,74,3,"SEO, AWS",5,70,Growth,4.6,12,"Bonuses, Perks",No,75,25,224069,38,High,5,10
AMA-MEC-4412,Mechanical Engineer,Finance,Amazon,"Dubai, UAE",1182849,6,M.Sc,Full-Time,"Photoshop, SEO",18-06-2016,Indeed,Onsite,3.1,10,440,8,2,6,0,85,71,14,"Python, HR Policies",5,95,Salary,3.3,16,"Bonuses, Perks",Yes,80,20,102583,37,Medium,2,8
TES-HR -8881,HR Manager,Biotechnology,Tesla,"London, UK",1588068,10,Diploma,Internship,"Python, AWS",01-03-2020,Upwork,Hybrid,3.2,10,270,4,3,1,0,74,72,2,"SQL, Machine Learning",15,75,Salary,3.7,14,"Bonuses, Perks",No,90,10,134018,37,High,1,12
TCS-MAR-5451,Marketing Manager,IT,TCS,"Bangalore, India",605516,4,MBA,Full-Time,"HR Policies, Power BI",04-05-2021,LinkedIn,Remote,4.6,2,186,2,1,1,0,85,74,11,"Java, Python",8,76,Culture,5.3,15,"WFH, Insurance",No,78,22,64682,38,High,4,6
TCS-MEC-7975,Mechanical Engineer,Biotechnology,TCS,"Paris, France",2640710,6,B.Com,Contract,"AWS, Power BI",06-03-2014,Glassdoor,Onsite,4.6,8,135,3,3,0,0,76,87,-11,"Photoshop, SQL",13,88,Salary,4.6,19,"WFH, Insurance",Yes,88,12,99030,42,Medium,2,5
GOO-HR -8902,HR Manager,IT,Google,"London, UK",1655176,6,M.Sc,Contract,"Java, Photoshop",06-05-2023,Naukri,Hybrid,4.2,6,202,5,4,1,0,61,89,-28,"Java, React",9,72,Culture,5,19,"Bonuses, Perks",Yes,89,11,217876,45,High,1,3
NIK-FIN-7056,Finance Consultant,Retail,Nike,"Sydney, Australia",2184074,6,M.Sc,Internship,"React, Java",25-03-2024,LinkedIn,Hybrid,4.3,6,160,1,1,0,0,64,71,-7,"Python, Photoshop",7,75,Culture,4.3,11,"Bonuses, Perks",Yes,83,17,184901,42,Low,5,8
PFI-SOF-1968,Software Engineer,Education,Pfizer,"Singapore, Singapore",2284501,11,M.Com,Part-time,"Photoshop, SEO",23-10-2020,LinkedIn,Hybrid,3.1,3,279,2,1,1,0,89,64,25,"SEO, React",9,73,Work-life balance,5.5,10,"Bonuses, Perks",No,78,22,204705,42,Medium,5,7
PFI-BIO-3403,Biotech Researcher,Manufacturing,Pfizer,"London, UK",1410081,14,Diploma,Contract,"SQL, Java",22-09-2017,Upwork,Hybrid,3.6,5,487,2,0,2,0,67,68,-1,"Python, HR Policies",12,74,Job Security,5.9,20,"Bonuses, Perks",Yes,85,15,,39,Low,5,16
